term_id,term_name,methods_tested,methods_significant,significant_fraction,wilcoxon_tested,gprofiler_tested,wilcoxon_gene_set_size,wilcoxon_effect_difference,wilcoxon_p_value,wilcoxon_adjusted_p_value,wilcoxon_significant,gprofiler_term_size,gprofiler_intersection_size,gprofiler_p_value,gprofiler_significant
GO:0009828,plant-type cell wall loosening,1,0,0.0,True,False,39.0,0.0,0.6970954715810203,0.8182248343068362,False,,,,
GO:0052324,plant-type cell wall cellulose biosynthetic process,1,0,0.0,True,False,18.0,0.0035096861081415,0.6991702257049588,0.8196014158281526,False,,,,
GO:0009640,photomorphogenesis,2,0,0.0,True,True,71.0,0.0042223583602095,0.7161061364240091,0.8328714471522112,False,91.0,1.0,0.930414993777472,False
GO:0009734,auxin-activated signaling pathway,2,0,0.0,True,True,102.0,0.0004462347068723,0.7394838226981881,0.8520806126633483,False,213.0,3.0,0.8766873348937695,False
GO:0060918,auxin transport,1,0,0.0,True,False,24.0,-0.0024302062238651,0.7452153361265219,0.8569556289166317,False,,,,
GO:0048527,lateral root development,2,0,0.0,True,True,56.0,0.0023700960963327,0.8781910339463965,0.9355078354753268,False,136.0,2.0,0.8571147846489449,False
GO:2000014,regulation of endosperm development,1,0,0.0,True,False,10.0,-0.0001853386144253,0.7588347836089888,0.8656421924349303,False,,,,
GO:0010101,post-embryonic root morphogenesis,1,0,0.0,False,True,,,,,,70.0,1.0,0.8713245299044023,False
GO:0010015,root morphogenesis,2,0,0.0,True,True,23.0,-0.0035051915157514,0.816153865801536,0.9011918109099216,False,311.0,3.0,0.9999999213864,False
GO:0048438,floral whorl development,1,0,0.0,False,True,,,,,,159.0,2.0,0.9108441056416068,False
GO:0010311,lateral root formation,1,0,0.0,True,False,61.0,0.0025887095632321,0.8550773771066693,0.9198454458677152,False,,,,
GO:0009888,tissue development,1,0,0.0,False,True,,,,,,645.0,9.0,0.9235214676127348,False
GO:0009911,positive regulation of flower development,1,0,0.0,True,False,42.0,5.767800118899999e-05,0.8627995188130642,0.9254001148152738,False,,,,
GO:0010315,auxin export across the plasma membrane,1,0,0.0,True,False,34.0,-0.0007702583971307,0.8754378073562986,0.9355078354753268,False,,,,
GO:0048588,developmental cell growth,1,0,0.0,False,True,,,,,,174.0,2.0,0.9368796351136432,False
GO:0000902,cell morphogenesis,2,0,0.0,True,True,20.0,0.0024425096174883,0.8884042388976641,0.939099306306596,False,353.0,3.0,0.9999999213864,False
GO:0048317,seed morphogenesis,1,0,0.0,True,False,11.0,-0.0007153936322013,0.8940007922921456,0.9421438414526732,False,,,,
GO:0048581,negative regulation of post-embryonic development,1,0,0.0,False,True,,,,,,97.0,1.0,0.947536636083405,False
GO:0080060,integument development,1,0,0.0,True,False,12.0,-0.000385984813534,0.9120511119687568,0.9521925631608308,False,,,,
GO:0010540,basipetal auxin transport,1,0,0.0,True,False,14.0,0.0047215659358636,0.9216438889280246,0.9592620068434542,False,,,,
GO:0090696,post-embryonic plant organ development,1,0,0.0,False,True,,,,,,188.0,2.0,0.9654960848432538,False
GO:0090697,post-embryonic plant organ morphogenesis,1,0,0.0,False,True,,,,,,110.0,1.0,0.9738471777547086,False
GO:0048768,root hair cell tip growth,1,0,0.0,True,False,31.0,0.0012807492961491,0.9534356239842358,0.9754306283489674,False,,,,
GO:0048440,carpel development,1,0,0.0,True,False,18.0,-0.0011574399236678,0.973166557553161,0.986709630918712,False,,,,
GO:0048765,root hair cell differentiation,1,0,0.0,True,False,20.0,-0.0006041039318326,0.983954550061183,0.9917328468996114,False,,,,
GO:0060560,developmental growth involved in morphogenesis,1,0,0.0,False,True,,,,,,297.0,3.0,0.9948773707065716,False
GO:0022622,root system development,1,0,0.0,False,True,,,,,,583.0,5.0,0.9999999213864,False
GO:0048468,cell development,1,0,0.0,False,True,,,,,,249.0,2.0,0.9999999213864,False
GO:0048869,cellular developmental process,1,0,0.0,False,True,,,,,,636.0,7.0,0.9999999213864,False
