GO_ID,GO_term,gene_set_size,median_effect_in_set,median_effect_outside_set,effect_difference,statistic,p_value,adjusted_p_value,significant
GO:0019388,galactose catabolic process,18,-0.00112855705085285,0.0002877213158555,-0.00141627836670835,249432.0,0.29775595861716075,0.48781991400364216,False
GO:0010100,negative regulation of photomorphogenesis,12,-0.0096070113619273,0.0002877213158555,-0.009894732677782798,160187.0,0.29829153812695,0.48781991400364216,False
GO:0048759,xylem vessel member cell differentiation,11,-0.0233019156146637,0.0002877213158555,-0.0235896369305192,145483.0,0.2984310062139929,0.48781991400364216,False
GO:0015800,acidic amino acid transport,10,-0.016327162352455352,0.0002877213158555,-0.01661488366831085,131008.0,0.30116640098158964,0.49150356640195425,False
GO:0006511,ubiquitin-dependent protein catabolic process,377,0.000314861015684,0.0002877213158555,2.7139699828499972e-05,6204725.0,0.30267291382829253,0.4923887153641966,False
GO:0005992,trehalose biosynthetic process,21,-0.0101778549070502,0.0002877213158555,-0.0104655762229057,295002.0,0.30281213189022727,0.4923887153641966,False
GO:0009658,chloroplast organization,183,0.0070663165393721,0.0002877213158555,0.0067785952235166,3069062.0,0.30315697377325046,0.4923887153641966,False
GO:0008356,asymmetric cell division,18,0.0114061552600477,0.0002877213158555,0.0111184339441922,331224.0,0.30463530116026694,0.4940031910707031,False
GO:1901000,regulation of response to salt stress,14,-0.00843612704610395,0.0002877213158555,-0.00872384836195945,190325.0,0.3056156644968201,0.4948063139472325,False
GO:0061025,membrane fusion,38,-0.00677737328639045,0.0002877213158555,-0.00706509460224595,554712.0,0.30910265834265127,0.49965881380270094,False
GO:0005987,sucrose catabolic process,14,-0.00233035415317425,0.0002877213158555,-0.00261807546902975,190672.0,0.3103354623451138,0.5007925493129813,False
GO:0009788,negative regulation of abscisic acid-activated signaling pathway,68,-0.0006424674847250374,0.0002877213158555,-0.0009301888005805374,1018330.0,0.31078596442658546,0.5007925493129813,False
GO:2000022,regulation of jasmonic acid mediated signaling pathway,41,0.0118629309103082,0.0002877213158555,0.0115752095944527,721832.0,0.31197348260384716,0.501913173905243,False
GO:0042793,plastid transcription,13,0.0208952466597622,0.0002877213158555,0.0206075253439067,243874.0,0.31255511561555616,0.5020570361068776,False
GO:0016197,endosomal transport,12,-0.018265320815673253,0.0002877213158555,-0.018553042131528752,161209.0,0.31323251867443236,0.5022558849414749,False
GO:0006646,phosphatidylethanolamine biosynthetic process,11,0.0272514473461335,0.0002877213158555,0.026963726030278,208798.0,0.3136637242232544,0.5022558849414749,False
GO:0048731,system development,59,0.0007064185835647,0.0002877213158555,0.0004186972677092,1023389.0,0.3142981085525446,0.5024828694727201,False
GO:0000288,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",11,0.0141670512882872,0.0002877213158555,0.0138793299724317,208688.0,0.31537516445436875,0.5034157554670675,False
GO:0009245,lipid A biosynthetic process,10,0.01705774332610155,0.0002877213158555,0.01677002201024605,190963.0,0.3176123803626053,0.5061947312029023,False
GO:0051781,positive regulation of cell division,12,0.00937111985422595,0.0002877213158555,0.00908339853837045,225949.0,0.3193024086346452,0.5079124665958861,False
GO:0010189,vitamin E biosynthetic process,10,-0.00663554104626325,0.0002877213158555,-0.00692326236211875,132153.0,0.31968608191623415,0.5079124665958861,False
GO:0006816,calcium ion transport,36,-0.0038401586351925502,0.0002877213158555,-0.00412787995104805,525608.0,0.3226838049637021,0.5118778865676145,False
GO:2000070,regulation of response to water deprivation,20,0.00981902705370815,0.0002877213158555,0.00953130573785265,364038.0,0.3236823592652469,0.5126646062896768,False
GO:1905392,plant organ morphogenesis,19,-0.0022889928045014,0.0002877213158555,-0.0025767141203569,266890.0,0.3266074081958228,0.5150426280912465,False
