Gene,spaceflight_effect,standard_error,t_statistic,p_value,adjusted_p_value,significant
AT2G22460,-0.1202447197172718,0.0171747251488181,-7.001260205060487,1.296045717672314e-07,6.61292178764296e-05,True
AT4G24130,-0.3286774062818794,0.0469460072235511,-7.001179135783745,1.2963181126246828e-07,6.61292178764296e-05,True
AT2G19970,-0.3812244347263668,0.0544849867796132,-6.996871198085902,1.310876964974113e-07,6.61292178764296e-05,True
AT5G27330,0.3102663671438005,0.0443797534466043,6.9911692393040985,1.3304030338196553e-07,6.61292178764296e-05,True
AT1G35320,0.2231775946843759,0.0321047523535743,6.951543878192505,1.4745239500275777e-07,7.218241560824395e-05,True
AT5G60850,-0.2520235451481231,0.0363280206242021,-6.937442250300363,1.5295610290789339e-07,7.273352095515888e-05,True
AT5G23920,-0.3017627478919195,0.0434996568169981,-6.937129393030095,1.5308054798820154e-07,7.273352095515888e-05,True
AT5G26070,-0.2888466532131218,0.0418027088433663,-6.909759228652439,1.6437578862443712e-07,7.547236397465197e-05,True
AT1G16310,-0.2546122741526073,0.0368533621702981,-6.9087936393985565,1.647893960204541e-07,7.547236397465197e-05,True
AT4G23500,-0.1578025507758,0.0228489987590862,-6.906322348722072,1.6585279155035098e-07,7.547236397465197e-05,True
AT3G21890,-0.1642514056835126,0.0238669006702939,-6.881974662422282,1.7670994147275018e-07,7.929613193115394e-05,True
AT2G44940,-0.4020328051068155,0.0586001142318541,-6.860614699762419,1.868286525593776e-07,8.019913414795312e-05,True
AT2G40900,-0.3537499339313621,0.0515627795848059,-6.860567579556982,1.868516135641874e-07,8.019913414795312e-05,True
AT2G32300,-0.4580608262112638,0.0667704394466688,-6.860233810159782,1.8701433675559477e-07,8.019913414795312e-05,True
AT1G78120,-0.2338252841879895,0.0341007655377367,-6.856892521349187,1.8865127968195974e-07,8.019913414795312e-05,True
AT2G01580,-0.1485898871569019,0.0217358836337786,-6.836155808544427,1.9914126719720786e-07,8.355915846590376e-05,True
AT5G45870,-0.1407645453446674,0.020633082488387,-6.82227415239068,2.064929374748493e-07,8.553308098557572e-05,True
AT5G47530,-0.1893155410522491,0.027778748821199,-6.8151212378498185,2.1038815426215277e-07,8.604342881083409e-05,True
AT5G42180,-0.5715360546732573,0.0839889248161094,-6.804897859147664,2.1608543128458565e-07,8.726880249217096e-05,True
AT5G25810,-0.3098377016808377,0.045633857704807,-6.789645172781427,2.248782559976047e-07,8.969866139539025e-05,True
AT1G68560,0.2559699456543896,0.0379570629993775,6.743671017396354,2.536441724686836e-07,9.93231498544137e-05,True
AT3G10690,0.240977724110356,0.0357459243342259,6.741404190788404,2.551555739241802e-07,9.93231498544137e-05,True
AT4G15920,-0.3447410811896283,0.0513594973029081,-6.712314163754632,2.7538314358349706e-07,0.0001052122815842,True
AT5G64700,-0.2302289707228265,0.0343292392056763,-6.706497902369997,2.796188937052396e-07,0.0001052122815842,True
AT3G57540,-0.2061504660499827,0.0307416283424873,-6.705905873081771,2.8005373785148466e-07,0.0001052122815842,True
AT4G28660,-0.2182618868601651,0.0325731395228687,-6.700670861245324,2.839288475598132e-07,0.0001054420360437,True
AT2G30210,-0.4345350975431918,0.0654172938043513,-6.642511058968449,3.3082512262906325e-07,0.0001213901230481,True
AT2G30040,-0.1413497712514221,0.0212926145136421,-6.638441284928151,3.343873518613123e-07,0.0001213901230481,True
AT3G07770,0.2837036362791943,0.042786900345935,6.630619044273609,3.4134378854855854e-07,0.0001221080753013,True
AT5G13330,0.2867779376847547,0.0432798592627075,6.626129164238275,3.4540287629216666e-07,0.0001221080753013,True
AT3G25730,0.2071005795761367,0.0312670325169657,6.6236084113119,3.477032073950342e-07,0.0001221080753013,True
AT1G49570,0.3356254410217594,0.0509080325145752,6.592779654677637,3.77126989955601e-07,0.0001310171604137,True
AT2G41150,0.1771942741489397,0.0269634061241821,6.571657650849358,3.987337352711911e-07,0.0001370498750306,True
AT5G66390,-0.5905644267918864,0.0903312482142994,-6.537764488661186,4.360625685390763e-07,0.0001445511725548,True
AT3G22840,-0.5667534605859977,0.0867038408520928,-6.536659218509318,4.3733786972864805e-07,0.0001445511725548,True
AT4G04840,-0.4637025149925812,0.0709444788498864,-6.536132515311631,4.379469295424525e-07,0.0001445511725548,True
AT5G13490,0.2439629807998574,0.0373277824622876,6.535694453490069,4.384541431295267e-07,0.0001445511725548,True
AT1G22360,0.2378009680005757,0.0364182037672368,6.529728086548572,4.454219755802313e-07,0.0001453650364547,True
AT1G01060,-0.1554046442741382,0.0238494320943959,-6.516073156754721,4.617946539139812e-07,0.000149201234733,True
