Gene,expression_range
AT1G04610,0.38252657172335414
AT1G04620,0.4631589335512356
AT1G04623,0.1019935489625394
AT1G04625,0.1292672916092043
AT1G04630,0.6833126938978389
AT1G04635,0.5374787855737949
AT1G04640,0.3855972650657323
AT1G04643,0.10858261405553989
AT1G04645,0.1022361431632837
AT1G04647,0.3675756817478229
AT1G04650,0.35079933743078273
AT1G04653,0.1022361431632837
AT1G04657,0.12822961683437567
AT1G04660,0.11488926139914618
AT1G04667,0.1022361431632837
AT1G04670,0.1019935489625394
AT1G04673,0.1022361431632837
AT1G04677,0.1022361431632837
AT1G04680,1.1012512340061955
AT1G04683,0.1179958396990885
AT1G04687,0.1022361431632837
AT1G04690,0.9129190196615249
AT1G04693,0.1022361431632837
AT1G04697,0.12616745869458218
AT1G04700,0.2523107824109061
AT1G04703,0.1768307327712899
AT1G04707,0.2341122065128727
AT1G04710,0.5084277295716395
AT1G04713,0.10659027982216149
AT1G04717,0.1022361431632837
AT1G04720,0.1290998254526816
AT1G04723,0.1022361431632837
AT1G04730,0.310871616689695
AT1G04733,0.5658288879030482
AT1G04737,0.1022361431632837
AT1G04743,0.1019935489625394
AT1G04747,0.1022361431632837
AT1G04750,0.6775711570648895
AT1G04753,0.1156852762339872
AT1G04760,0.46768463325787146
AT1G04763,0.1022361431632837
AT1G04767,0.17750479742979938
AT1G04770,0.5393188232001528
AT1G04773,0.1022361431632837
AT1G04778,0.3951894608593783
AT1G04780,0.6080255017203623
AT1G04783,0.1016524999438922
AT1G04787,0.1019935489625394
AT1G04790,0.37605766157694775
AT1G04793,0.1022361431632837
AT1G04797,0.1022361431632837
AT1G04800,0.1016524999438922
AT1G04803,0.2214126045119097
AT1G04807,0.1022361431632837
AT1G04810,0.5864825834688921
AT1G04813,0.1022361431632837
AT1G04817,0.1019935489625394
AT1G04820,0.9080377427326667
AT1G04823,0.1294637844691584
AT1G04827,0.2043289456750657
AT1G04830,0.2493824497681999
AT1G04833,0.3735230458835256
AT1G04837,0.587417204888897
AT1G04840,0.3454966534208778
AT1G04847,0.1022361431632837
AT1G04850,0.7530301686424272
AT1G04853,0.1022361431632837
AT1G04857,0.11285349672868329
AT1G04860,0.3340576261765651
AT1G04863,0.256461068662396
AT1G04867,0.1022361431632837
AT1G04870,0.8171231147715954
AT1G04873,0.1303903253953601
AT1G04877,0.19627359308855238
AT1G04880,0.29857182134217863
AT1G04883,0.1022361431632837
AT1G04887,0.1022361431632837
AT1G04890,0.1022361431632837
AT1G04893,0.1022361431632837
AT1G04895,0.1022361431632837
AT1G04897,0.1022361431632837
AT1G04900,0.8029023781756444
AT1G04907,0.12697281791831488
AT1G04910,0.45742150779513757
AT1G04913,0.1022361431632837
AT1G04917,0.2281119464971284
AT1G04920,0.5510694809205023
AT1G04923,0.1293094476827123
AT1G04927,0.1016524999438922
AT1G04930,0.2891865976467079
