Gene,GO_ID,GO_term
AT1G02335,GO:0010497,plasmodesmata-mediated intercellular transport
AT1G02335,GO:2000280,regulation of root development
AT1G02340,GO:0006357,regulation of transcription by RNA polymerase II
AT1G02340,GO:0007165,signal transduction
AT1G02340,GO:0009408,response to heat
AT1G02340,GO:0009416,response to light stimulus
AT1G02340,GO:0009585,"red, far-red light phototransduction"
AT1G02340,GO:0009642,response to light intensity
AT1G02340,GO:0009737,response to abscisic acid
AT1G02340,GO:0009738,abscisic acid-activated signaling pathway
AT1G02340,GO:0009785,blue light signaling pathway
AT1G02340,GO:0010218,response to far red light
AT1G02340,GO:1902074,response to salt
AT1G02350,,
AT1G02360,GO:0002239,response to oomycetes
AT1G02360,GO:0005975,carbohydrate metabolic process
AT1G02360,GO:0006032,chitin catabolic process
AT1G02360,GO:0016998,cell wall macromolecule catabolic process
AT1G02360,GO:0071456,cellular response to hypoxia
AT1G02370,GO:0000963,mitochondrial RNA processing
AT1G02370,GO:0032543,mitochondrial translation
AT1G02370,GO:0080156,mitochondrial mRNA modification
AT1G02380,,
AT1G02390,GO:0010143,cutin biosynthetic process
AT1G02390,GO:0016024,CDP-diacylglycerol biosynthetic process
AT1G02390,GO:0160062,cutin-based cuticle development
AT1G02400,GO:0009416,response to light stimulus
AT1G02400,GO:0009639,response to red or far red light
AT1G02400,GO:0009685,gibberellin metabolic process
AT1G02400,GO:0009686,gibberellin biosynthetic process
AT1G02400,GO:0045487,gibberellin catabolic process
AT1G02405,,
AT1G02410,GO:0008150,biological_process
AT1G02410,GO:0009846,pollen germination
AT1G02410,GO:0010101,post-embryonic root morphogenesis
AT1G02410,GO:0033617,mitochondrial respiratory chain complex IV assembly
AT1G02420,,
AT1G02430,GO:0006886,intracellular protein transport
AT1G02430,GO:0016192,vesicle-mediated transport
AT1G02440,GO:0006886,intracellular protein transport
AT1G02440,GO:0016192,vesicle-mediated transport
AT1G02450,GO:0010112,regulation of systemic acquired resistance
AT1G02450,GO:0042742,defense response to bacterium
AT1G02450,GO:0045892,negative regulation of DNA-templated transcription
AT1G02460,GO:0005975,carbohydrate metabolic process
AT1G02470,,
AT1G02475,,
AT1G02480,,
AT1G02490,GO:0008150,biological_process
AT1G02500,GO:0006556,S-adenosylmethionine biosynthetic process
AT1G02500,GO:0009693,ethylene biosynthetic process
AT1G02510,GO:0071805,potassium ion transmembrane transport
AT1G02520,GO:0010315,auxin export across the plasma membrane
AT1G02520,GO:0048467,gynoecium development
AT1G02520,GO:0055085,transmembrane transport
AT1G02530,GO:0010315,auxin export across the plasma membrane
AT1G02530,GO:0055085,transmembrane transport
AT1G02540,GO:0008150,biological_process
AT1G02550,,
AT1G02560,GO:0006508,proteolysis
AT1G02560,GO:0006515,protein quality control for misfolded or incompletely synthesized proteins
AT1G02570,GO:0008150,biological_process
AT1G02575,,
AT1G02580,GO:0006338,chromatin remodeling
AT1G02580,GO:0009646,response to absence of light
AT1G02580,GO:0031507,heterochromatin formation
AT1G02580,GO:0045892,negative regulation of DNA-templated transcription
AT1G02580,GO:0048317,seed morphogenesis
AT1G02580,GO:0050793,regulation of developmental process
AT1G02580,GO:0141044,epigenetic programming in the endosperm
AT1G02580,GO:2000014,regulation of endosperm development
AT1G02590,,
AT1G02600,,
AT1G02610,,
AT1G02620,GO:0006886,intracellular protein transport
AT1G02630,GO:1901642,nucleoside transmembrane transport
AT1G02640,GO:0005975,carbohydrate metabolic process
AT1G02640,GO:0031222,arabinan catabolic process
AT1G02640,GO:0045493,xylan catabolic process
AT1G02650,,
AT1G02660,GO:0002213,defense response to insect
AT1G02660,GO:0006629,lipid metabolic process
AT1G02660,GO:0031349,positive regulation of defense response
AT1G02670,,
AT1G02680,GO:0006366,transcription by RNA polymerase II
AT1G02680,GO:0009793,embryo development ending in seed dormancy
AT1G02680,GO:0009960,endosperm development
AT1G02680,GO:0048316,seed development
AT1G02690,GO:0006606,protein import into nucleus
AT1G02690,GO:0006607,NLS-bearing protein import into nucleus
AT1G02700,,
AT1G02705,GO:0008150,biological_process
AT1G02710,GO:0008150,biological_process
AT1G02720,GO:0045489,pectin biosynthetic process
AT1G02720,GO:0048354,mucilage biosynthetic process involved in seed coat development
AT1G02720,GO:0048363,mucilage pectin metabolic process
AT1G02720,GO:0071668,plant-type cell wall assembly
AT1G02730,GO:0000919,cell plate assembly
AT1G02730,GO:0006950,response to stress
AT1G02730,GO:0006970,response to osmotic stress
AT1G02730,GO:0009414,response to water deprivation
AT1G02730,GO:0009625,response to insect
AT1G02730,GO:0009651,response to salt stress
AT1G02730,GO:0009833,plant-type primary cell wall biogenesis
AT1G02730,GO:0030244,cellulose biosynthetic process
AT1G02730,GO:0042546,cell wall biogenesis
AT1G02730,GO:0048367,shoot system development
AT1G02740,GO:0006325,chromatin organization
AT1G02740,GO:0006355,regulation of DNA-templated transcription
AT1G02740,GO:0006357,regulation of transcription by RNA polymerase II
AT1G02740,GO:0040029,epigenetic regulation of gene expression
AT1G02740,GO:0048510,regulation of timing of transition from vegetative to reproductive phase
AT1G02740,GO:0048586,"regulation of long-day photoperiodism, flowering"
AT1G02750,GO:0006355,regulation of DNA-templated transcription
AT1G02750,GO:0006357,regulation of transcription by RNA polymerase II
AT1G02770,GO:0008150,biological_process
AT1G02780,GO:0006412,translation
AT1G02790,GO:0005975,carbohydrate metabolic process
AT1G02800,GO:0005975,carbohydrate metabolic process
AT1G02800,GO:0007389,pattern specification process
AT1G02800,GO:0009624,response to nematode
AT1G02810,GO:0042545,cell wall modification
AT1G02810,GO:0045490,pectin catabolic process
AT1G02813,GO:0010629,negative regulation of gene expression
AT1G02813,GO:0071215,cellular response to abscisic acid stimulus
AT1G02816,GO:0010629,negative regulation of gene expression
AT1G02816,GO:0071215,cellular response to abscisic acid stimulus
AT1G02820,GO:0006950,response to stress
AT1G02820,GO:0009414,response to water deprivation
AT1G02820,GO:0009631,cold acclimation
AT1G02820,GO:0009651,response to salt stress
AT1G02830,GO:0002181,cytoplasmic translation
AT1G02830,GO:0006412,translation
AT1G02840,GO:0000381,"regulation of alternative mRNA splicing, via spliceosome"
AT1G02850,GO:0005975,carbohydrate metabolic process
AT1G02860,GO:0009626,plant-type hypersensitive response
AT1G02860,GO:0009627,systemic acquired resistance
AT1G02860,GO:0009697,salicylic acid biosynthetic process
AT1G02860,GO:0009751,response to salicylic acid
AT1G02860,GO:0010167,response to nitrate
AT1G02860,GO:0010337,regulation of salicylic acid metabolic process
AT1G02860,GO:0016567,protein ubiquitination
AT1G02860,GO:0042742,defense response to bacterium
AT1G02860,GO:0080021,response to benzoic acid
AT1G02870,,
AT1G02880,GO:0006772,thiamine metabolic process
AT1G02880,GO:0009229,thiamine diphosphate biosynthetic process
AT1G02880,GO:0036172,thiamine salvage
AT1G02890,,
AT1G02900,GO:0007267,cell-cell signaling
AT1G02900,GO:0019722,calcium-mediated signaling
AT1G02900,GO:0030308,negative regulation of cell growth
