Gene,Flight_Mean,Ground_Mean,Effect,P_Value,Adjusted_P_Value,Significant,-log10_p
AT5G03125,0.1951612419765147,0.05364101195714595,0.14152023001936875,0.3526902584975582,0.6363731746551637,False,0.19628813566401707
AT1G32150,6.780502560546626,7.020288232360973,-0.23978567181434673,0.35274272898803605,0.6363731746551637,False,0.19628813566401707
AT1G65310,8.02139446034009,8.432604144661603,-0.4112096843215127,0.35266632663928854,0.6363731746551637,False,0.19628813566401707
AT1G34260,6.8796574363464895,7.116678422038459,-0.23702098569196917,0.3527440398928883,0.6363731746551637,False,0.19628813566401707
AT3G08760,7.6099564166327855,7.862961732180762,-0.2530053155479761,0.3526965601758896,0.6363731746551637,False,0.19628813566401707
AT1G78150,10.154223358156118,10.406088510015636,-0.2518651518595174,0.35271622975147165,0.6363731746551637,False,0.19628813566401707
AT4G26430,8.001837047752081,8.25731977286112,-0.25548272510903836,0.35280427765452205,0.6364463097007231,False,0.19623822733507407
AT5G23090,8.340082940989559,8.57377501871053,-0.23369207772097056,0.3529671216599798,0.6367042412117934,False,0.19606225720582418
AT5G20720,11.603316678533655,11.857958954678784,-0.2546422761451286,0.35298667147190077,0.6367042412117934,False,0.19606225720582418
AT3G08690,9.34341473013307,9.570166286617994,-0.22675155648492407,0.3530327284764875,0.6367517682323918,False,0.19602984034549498
AT2G22140,5.237079494842458,5.567318569674688,-0.3302390748322299,0.35307275141550576,0.6367884071387504,False,0.19600485161696227
AT5G46020,11.498681157419036,11.804945056988446,-0.30626389956941047,0.3531301472376349,0.6368563732682526,False,0.19595850067911647
AT3G49850,7.714278728031357,8.021657537857202,-0.30737880982584453,0.3531908783496265,0.6368695601007438,False,0.19594950821310023
AT2G37740,3.9794522081855055,4.382249934051067,-0.40279772586556195,0.3531965946914212,0.6368695601007438,False,0.19594950821310023
AT3G25520,13.744267446478544,13.990513873707412,-0.24624642722886847,0.35319361968995955,0.6368695601007438,False,0.19594950821310023
AT2G09250,7.551336073234099,6.902124498362648,0.6492115748714511,0.353305390921306,0.636973283970182,False,0.19587878252751365
AT1G06573,6.170471511138685,6.5121711335454595,-0.3416996224067743,0.3533354510504586,0.636973283970182,False,0.19587878252751365
AT4G06005,0.3934701680959369,0.1732357421928128,0.2202344259031241,0.3533328926829502,0.636973283970182,False,0.19587878252751365
AT1G36240,0.7068680220667626,0.46388603571334247,0.2429819863534201,0.3533526933237665,0.636973283970182,False,0.19587878252751365
AT3G58680,10.233466413835332,10.480567610581238,-0.24710119674590558,0.3532837353604674,0.636973283970182,False,0.19587878252751365
AT1G29430,2.138954395447822,1.6514400158186417,0.4875143796291803,0.35337988441223656,0.636986759957317,False,0.19586959456768863
AT4G39900,9.400597273734869,9.655049355328028,-0.25445208159315946,0.3534716063115765,0.6371165483024114,False,0.1957811145175712
AT5G27210,7.417375879498863,7.722970011932882,-0.30559413243401945,0.35353205511788854,0.6371544133878431,False,0.1957553043121141
AT5G05690,7.591286035647942,7.802748305588388,-0.21146226994044603,0.3535187734270323,0.6371544133878431,False,0.1957553043121141
AT5G04280,7.999893837071161,8.219750099221782,-0.21985626215062126,0.35364534754453814,0.6371735041154027,False,0.19574229196651385
AT5G18240,5.101209252367154,5.446796900088955,-0.3455876477218016,0.3536558484141128,0.6371735041154027,False,0.19574229196651385
AT2G18950,6.341006963734599,6.6610498792132935,-0.32004291547869457,0.3535969545066109,0.6371735041154027,False,0.19574229196651385
AT4G11175,7.241503280776291,7.5203017488284,-0.27879846805210917,0.3536180500756605,0.6371735041154027,False,0.19574229196651385
AT3G26430,9.832020894085712,10.063362466526677,-0.23134157244096443,0.35366097524842977,0.6371735041154027,False,0.19574229196651385
AT2G34920,6.508721727521216,6.7446045938192665,-0.23588286629805033,0.3535655721385117,0.6371735041154027,False,0.19574229196651385
AT4G29658,0.12294821690591283,0.3075894021364289,-0.18464118523051604,0.35372719988649404,0.6372217508298151,False,0.1957094084764538
AT3G12915,4.5220534481779335,4.909501164659772,-0.3874477164818382,0.35372023410245923,0.6372217508298151,False,0.1957094084764538
AT1G56570,4.715401805800798,5.067930763098154,-0.35252895729735645,0.35379845765388496,0.6373145834265928,False,0.19564614361140611
AT2G32620,1.4804428530222686,1.8100996330550572,-0.32965678003278853,0.35392381122525873,0.6373307093662138,False,0.19563515481847224
AT2G18490,4.219783522774511,4.6243690541770635,-0.40458553140255216,0.35392758519790113,0.6373307093662138,False,0.19563515481847224
AT4G16420,7.5658358518394895,7.804511311930154,-0.23867546009066487,0.3539265186200976,0.6373307093662138,False,0.19563515481847224
AT1G64480,5.682325048153908,6.174024161874053,-0.49169911372014496,0.35386255647854514,0.6373307093662138,False,0.19563515481847224
AT1G19800,9.192119643762398,9.438383655091979,-0.24626401132958087,0.35391787989262424,0.6373307093662138,False,0.19563515481847224
AT3G14395,6.699419684895908,7.286586045123627,-0.5871663602277195,0.35388106321220913,0.6373307093662138,False,0.19563515481847224
AT1G16610,10.059822287918948,10.29419316935862,-0.23437088143967166,0.35394549253019203,0.6373307093662138,False,0.19563515481847224
AT5G10420,0.1594659674970258,0.3472562890514712,-0.18779032155444542,0.35396921373443446,0.6373379027276996,False,0.19563025309394555
AT2G20721,5.097527261461953,5.360611294714629,-0.26308403325267626,0.35409661455910035,0.6373418600869437,False,0.19562755648051722
AT1G66180,9.272463853837404,9.519223572134077,-0.24675971829667276,0.35418751263328807,0.6373418600869437,False,0.19562755648051722
AT5G06730,5.71266525007194,6.121694727239607,-0.4090294771676666,0.354083141473288,0.6373418600869437,False,0.19562755648051722
AT1G17850,6.501907702855143,6.778033856899422,-0.2761261540442792,0.35407189148819374,0.6373418600869437,False,0.19562755648051722
AT5G01275,0.22202772181360048,0.06488405901235812,0.15714366280124237,0.3542081289956719,0.6373418600869437,False,0.19562755648051722
AT1G36180,5.30527591683707,5.034749168267186,0.27052674856988457,0.3542022448162536,0.6373418600869437,False,0.19562755648051722
AT2G34260,9.448919891048229,9.704862131724026,-0.25594224067579674,0.3541350611936952,0.6373418600869437,False,0.19562755648051722
AT5G49800,8.128247993188554,8.379960020259862,-0.25171202707130824,0.354097736711697,0.6373418600869437,False,0.19562755648051722
AT4G01700,9.064837318885868,9.328447968765467,-0.2636106498795989,0.3541792675034764,0.6373418600869437,False,0.19562755648051722
AT3G05660,1.2682315031491331,1.7134670841832893,-0.44523558103415617,0.3541718165265061,0.6373418600869437,False,0.19562755648051722
AT2G25730,7.941538745455039,8.213495084593575,-0.27195633913853623,0.35420132965445017,0.6373418600869437,False,0.19562755648051722
AT4G08210,3.6428585679284553,3.979888072193508,-0.3370295042650526,0.35412800466711725,0.6373418600869437,False,0.19562755648051722
AT4G13850,11.767882745349604,12.011729147016764,-0.24384640166715954,0.3543345685738226,0.6374338383335356,False,0.19556488561995905
AT4G06010,3.9468565879663164,4.319148173403418,-0.3722915854371016,0.35433054780121387,0.6374338383335356,False,0.19556488561995905
AT2G15390,7.462450227808507,7.709142382414407,-0.2466921546059,0.35433816386982886,0.6374338383335356,False,0.19556488561995905
AT3G07750,7.903527592680397,8.141353662433698,-0.237826069753301,0.35431401569357535,0.6374338383335356,False,0.19556488561995905
