Gene,spaceflight_effect,standard_error,t_statistic,p_value,adjusted_p_value,significant
AT3G63400,0.2555890404050667,0.043799680894231446,5.835408733279802,2.85231119020393e-06,0.0004922429685736613,True
AT1G06720,0.25160296739274113,0.04312405834215473,5.834399104937525,2.8601033153410568e-06,0.0004922429685736613,True
AT2G31730,-0.17297972114029742,0.029650987132985196,-5.8338604500578795,2.864269339560133e-06,0.0004922429685736613,True
AT4G12545,-0.5482053147132109,0.09413825779339927,-5.823406206606573,2.9463477592675788e-06,0.0005004894009200074,True
AT1G76900,-0.21167247172941894,0.036348894693839506,-5.82335373640106,2.9467656448417527e-06,0.0005004894009200074,True
AT2G23290,0.06687109674711009,0.011486432156963952,5.8217465469961205,2.959594711915369e-06,0.0005004894009200074,True
AT1G68500,-0.13050559541474038,0.02242657598991337,-5.81923854419136,2.9797270450524794e-06,0.0005004894009200074,True
AT2G25710,-0.16951694073336615,0.029138288473011056,-5.817669795203617,2.9923899665530835e-06,0.0005004894009200074,True
AT4G08570,-0.189283696794447,0.0325448370393131,-5.816089862911235,3.0051980494129015e-06,0.0005004894009200074,True
AT1G75390,0.24156471335804067,0.0416265307675968,5.8031430653375775,3.112260266391816e-06,0.0005139450657874125,True
AT2G40940,0.23636732845002528,0.040735537488817905,5.802484587687329,3.1178072021521205e-06,0.0005139450657874125,True
AT3G22600,-0.4350332736720194,0.0750058538938654,-5.799990948541152,3.13890388547561e-06,0.0005147961707402613,True
AT3G14185,-0.14246764943820106,0.02463128589197044,-5.7840118483072835,3.277551716892448e-06,0.00053482029505595,True
AT2G01010,0.9439681608138223,0.1634086430207451,5.776733368344436,3.342738273104913e-06,0.0005427162355062645,True
AT5G08640,-0.2777665548582439,0.048171074354505336,-5.766252021162676,3.4389148885843706e-06,0.0005555395056763621,True
AT1G17090,-0.2531598405251234,0.04399190343502351,-5.7546916763682,3.5482334201116384e-06,0.0005703476297034176,True
AT1G76980,-0.17255619335119787,0.030032794265420246,-5.7455923623423555,3.636739832761053e-06,0.0005812553438781465,True
AT3G57062,-0.16437293648910928,0.028618357285926124,-5.74361885438981,3.656227531428254e-06,0.0005812553438781465,True
AT2G21970,-0.21923754666863005,0.038189915082115264,-5.740718359735271,3.6850602009405146e-06,0.0005812553438781465,True
AT1G73165,-0.2623554374050141,0.04570319019242996,-5.740418476267972,3.688054272649108e-06,0.0005812553438781465,True
AT1G80440,0.23890077609097263,0.04169356895171199,5.7299190761927585,3.7944426175626424e-06,0.0005951196433535505,True
AT3G04340,0.17548128823662723,0.030657331487502378,5.723958339562695,3.856213334015021e-06,0.0006018859739550305,True
AT2G15970,-0.3318031092466025,0.05801470861599146,-5.719292868345851,3.905267945467465e-06,0.0006059678033366003,True
AT4G15500,-0.20335690404502674,0.03557049214607395,-5.717011257812243,3.929486312759566e-06,0.0006059678033366003,True
AT2G36295,-0.17499796249627547,0.03061463722301756,-5.716153394909529,3.938631300897151e-06,0.0006059678033366003,True
AT4G20850,0.18909750926786367,0.03311851664042205,5.709721583274808,4.007882755516262e-06,0.0006136999239240516,True
AT5G62130,-0.17033087442309236,0.029858993272925866,-5.7045082821843485,4.064914374467998e-06,0.0006194967854938044,True
AT4G31470,-0.2270225243576111,0.03982120020368171,-5.701046758922688,4.10323347832445e-06,0.0006224008002403036,True
AT2G47810,-0.14325694735627348,0.025149426663006024,-5.696231141801722,4.157148914892695e-06,0.0006264994040962348,True
AT4G13620,-0.2869443117362946,0.05038373091585388,-5.695177917957718,4.169035621055757e-06,0.0006264994040962348,True
AT2G31060,0.23144796613676374,0.04071690154715243,5.684321678277366,4.293574168603488e-06,0.0006363659600495718,True
AT5G15910,-0.19894577575986463,0.03500707925080959,-5.683015550497939,4.3088081205353595e-06,0.0006363659600495718,True
AT5G10950,0.17926504746871644,0.03154429537256876,5.68296249294594,4.309428104699577e-06,0.0006363659600495718,True
